despite; mimo, pomimo
regardless; niezale¿nie, mimo wszystko
circumlocution; omówienie
discussion; omówienie
regardless of; niezale¿nie od
under discussion; omawiany
reliant; uzale¿niony, zale¿ny
overhead; narzut, na górze
otherwise; w przeciwnym wypadku, inaczej
contribute; przyczyniaæ siê, wspomóc, wspó³tworzyæ
imply; znaczyæ, sugerowaæ, daæ do zrozumienia
sufficient; wystarczaj¹cy
ridiculous; absurdalny, niepowa¿ny, idiotyczny
furthermore; ponadto, dalej
nevertheless; niemniej jednak, pomimo to, jednak
thus; st¹d
rough; orientacyjny, przybli¿ony
calculation; obliczenie
whatsover; w ogóle, wcale, absolutnie
spread; rozk³ad
relevance; trafnoœæ, znaczenie, istotnoœæ
ford; przeprawa
praise; chwaliæ, s³awiæ, chwa³a, pochwa³a
reliable; godny zaufania, solidny, wiarygodny
